iter	RMSE
466	29278.5921
467	29235.88355
468	29199.46783
469	29156.93424
470	29113.07672
471	29072.41452
472	29029.56323
473	28989.13322
474	28951.09765
475	28909.89911
476	28879.84304
477	28843.61972
478	28798.30098
479	28768.02668
480	28730.40542
481	28698.66105
482	28662.15904
483	28623.36452
484	28587.34103
485	28552.44537
486	28516.36231
487	28481.12745
488	28440.5037
489	28408.57551
490	28371.69282
491	28336.47734
492	28298.89579
493	28263.63164
494	28228.74919
495	28198.89142
496	28166.6368
497	28130.10467
498	28091.61298
499	28053.50791
500	28022.33746
501	27986.94289
502	27949.13714
503	27918.60698
504	27887.66697
505	27854.20112
506	27819.16244
507	27785.3904
508	27746.0057
509	27713.80101
510	27689.09645
511	27653.80949
512	27620.58186
513	27593.54975
514	27560.18065
515	27532.30275
516	27497.37939
517	27460.66092
518	27434.32425
519	27401.20181
520	27366.28236
521	27336.20861
522	27309.61579
523	27280.49338
524	27248.37842
525	27221.21571
526	27189.43965
527	27156.74752
528	27125.99547
529	27097.0575
530	27065.22634
531	27031.04876
532	27006.37319
533	26974.97102
534	26944.57952
535	26912.62263
536	26883.47099
537	26857.83509
538	26832.43109
539	26801.82017
540	26768.34175
541	26736.46666
542	26710.26457
543	26681.63518
544	26651.85942
545	26623.83685
546	26596.78418
547	26566.42068
548	26537.10658
549	26509.69144
550	26486.30414
551	26465.50706
552	26443.38098
553	26413.26085
554	26380.33052
555	26360.43385
556	26333.42193
557	26309.79734
558	26280.91076
559	26260.65883
560	26239.56738
561	26216.5558
562	26189.53582
563	26168.07575
564	26141.14256
565	26113.24703
566	26078.61963
567	26055.88628
568	26031.3036
569	26014.40928
570	25993.52758
571	25962.18682
572	25940.96821
573	25919.258
574	25895.91931
575	25871.71263
576	25842.34638
577	25815.24641
578	25790.38327
579	25768.12289
580	25743.83159
581	25711.36657
582	25689.47877
583	25663.47998
584	25647.30715
585	25625.7762
586	25602.30249
587	25577.65462
588	25554.68444
589	25528.56564
590	25504.34877
591	25480.78621
592	25459.14471
593	25433.90422
594	25410.41341
595	25382.25055
596	25355.1169
597	25327.39388
598	25302.15971
599	25276.41084
600	25248.36377
601	25228.71427
602	25209.41941
603	25187.90293
604	25166.28793
605	25141.17323
606	25123.8338
607	25100.74263
608	25085.42811
609	25062.21733
610	25037.13936
611	25014.30261
612	24988.4886
613	24966.53368
614	24944.10241
615	24926.95508
616	24910.15832
617	24889.99592
618	24868.63829
619	24845.66187
620	24824.10609
621	24812.61033
622	24788.3759
623	24767.87233
624	24742.50283
625	24719.91025
626	24700.62702
627	24683.15098
628	24663.69485
629	24638.67525
630	24616.56676
631	24594.60732
632	24567.38948
633	24544.69869
634	24517.57592
635	24498.151
636	24477.17784
637	24455.55147
638	24439.44021
639	24422.98194
640	24406.99101
641	24384.54649
642	24368.66303
643	24351.5051
644	24329.98545
645	24309.12225
646	24291.16959
647	24267.92637
648	24245.32881
649	24233.80196
650	24214.48846
651	24193.22653
652	24180.61883
653	24158.76926
654	24140.13526
655	24114.96297
656	24096.60272
657	24075.95621
658	24054.19258
659	24032.79333
660	24015.53723
661	23997.88297
662	23972.75397
663	23958.05497
664	23938.76574
665	23921.73403
666	23903.36983
667	23876.68011
668	23861.17362
669	23840.41525
670	23817.67414
671	23803.51416
672	23783.22865
673	23768.92383
674	23752.34332
675	23735.73085
676	23719.31883
677	23701.25032
678	23681.74633
679	23661.40385
680	23638.4619
681	23622.3794
682	23607.57336
683	23589.27296
684	23572.79647
685	23556.86529
